Price,Date,Zip_Code,Address,ABC,EFG,X,County,Area,Area1
1550000,12/02/2016,SW1V 3QN,47,FLAT F,ST GEORGES SQUARE,,LONDON,CITY OF WESTMINSTER,GREATER LONDON
920000,15/02/2016,W9 3PE,25B,,WALTERTON ROAD,,LONDON,CITY OF WESTMINSTER,GREATER LONDON
1160000,15/01/2016,HA7 4YN,23,,REES DRIVE,,STANMORE,HARROW,GREATER LONDON
200000,27/01/2016,HA0 4LH,56B,,ST JAMES GARDENS,,WEMBLEY,BRENT,GREATER LONDON
680000,05/02/2016,HA7 4JY,STANMORE HALL,1,WOOD LANE,,STANMORE,HARROW,GREATER LONDON
860000,01/02/2016,HA3 0PQ,THE LODGE,,WOODCOCK HILL,,HARROW,BRENT,GREATER LONDON
447900,29/01/2016,NW10 5TB,84,,PURVES ROAD,,LONDON,BRENT,GREATER LONDON
635888,29/01/2016,NW2 4JE,48C,,MAPESBURY ROAD,,LONDON,BRENT,GREATER LONDON
1050000,21/01/2016,EC1Y 8PW,"CHEQUER COURT, 3",FLAT 17,CHEQUER STREET,,LONDON,ISLINGTON,GREATER LONDON
240000,28/01/2016,NW2 7RY,CLIFFORD COURT,FLAT 18,TANFIELD AVENUE,,LONDON,BRENT,GREATER LONDON
556000,05/02/2016,EC3N 1DE,27,FLAT 1,MINORIES,,LONDON,CITY OF LONDON,GREATER LONDON
565000,15/01/2016,SW1V 2NE,146,FLAT 2,TACHBROOK STREET,,LONDON,CITY OF WESTMINSTER,GREATER LONDON
242500,13/01/2016,NW10 4TS,103B,1ST FLOOR FLAT,HIGH STREET,,LONDON,BRENT,GREATER LONDON
495000,11/01/2016,N7 6RG,49A,,TOLLINGTON WAY,,LONDON,ISLINGTON,GREATER LONDON
1500000,15/01/2016,SW1W 9TB,"CONSORT RISE HOUSE, 203",APARTMENT 80,BUCKINGHAM PALACE ROAD,,LONDON,CITY OF WESTMINSTER,GREATER LONDON
745000,05/02/2016,NW1 8HX,104B,,GLOUCESTER AVENUE,,LONDON,CAMDEN,GREATER LONDON
818000,13/01/2016,EN5 2NG,23,,HILLSIDE GARDENS,,BARNET,BARNET,GREATER LONDON
360000,27/01/2016,EC1N 7SB,COURTFIELD HOUSE,FLAT 4,BALDWINS GARDENS,,LONDON,CAMDEN,GREATER LONDON
700000,05/02/2016,EC1R 0BD,19,FLAT 3,BOWLING GREEN LANE,,LONDON,ISLINGTON,GREATER LONDON
475000,11/02/2016,EC1V 0AR,94 THE TRIANGLE,,CYRUS STREET,,LONDON,ISLINGTON,GREATER LONDON
560000,18/01/2016,NW3 4RS,119,FLAT 27,HAVERSTOCK HILL,,LONDON,CAMDEN,GREATER LONDON
682000,19/02/2016,EN2 8NJ,232,,LAVENDER HILL,,ENFIELD,ENFIELD,GREATER LONDON
326000,06/01/2016,N15 3LS,31B,,BELMONT ROAD,,LONDON,HARINGEY,GREATER LONDON
810000,05/02/2016,NW10 3AG,153,,ALL SOULS AVENUE,,LONDON,BRENT,GREATER LONDON
490000,02/02/2016,EN5 3DY,4,,WELL APPROACH,,BARNET,BARNET,GREATER LONDON
1300100,07/01/2016,N1 7BA,69,,ARLINGTON AVENUE,,LONDON,ISLINGTON,GREATER LONDON
320000,22/01/2016,TW15 1AT,2,,THE CLUMPS,,ASHFORD,HOUNSLOW,GREATER LONDON
310000,29/01/2016,UB3 1QN,56A,,BOURNE AVENUE,,HAYES,HILLINGDON,GREATER LONDON
460000,15/01/2016,N6 5PN,NORTHWOOD HALL,FLAT 18 SIXTH FLOOR,HORNSEY LANE,,LONDON,HARINGEY,GREATER LONDON
2800000,29/01/2016,SW1V 4JU,39,,SUTHERLAND STREET,,LONDON,CITY OF WESTMINSTER,GREATER LONDON
542000,12/02/2016,NW2 7PA,60,,AVONDALE AVENUE,,LONDON,BRENT,GREATER LONDON
545000,05/02/2016,N22 5BE,52,,DUNBAR ROAD,,LONDON,HARINGEY,GREATER LONDON
800000,08/02/2016,W11 3DJ,9,,SIMON CLOSE,,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON
640000,16/02/2016,E18 1LD,22,,GRANVILLE ROAD,,LONDON,REDBRIDGE,GREATER LONDON
1045800,19/02/2016,E2 7BX,21,,WIMBOLT STREET,,LONDON,TOWER HAMLETS,GREATER LONDON
485000,21/01/2016,HA7 4ES,35,,NELSON ROAD,,STANMORE,HARROW,GREATER LONDON
230000,25/01/2016,HA9 9JQ,KINGS COURT,59,KINGS DRIVE,,WEMBLEY,BRENT,GREATER LONDON
470000,05/02/2016,EN4 8QT,232,,EAST BARNET ROAD,,BARNET,BARNET,GREATER LONDON
353069,29/01/2016,IG1 2TW,274,,HENLEY ROAD,,ILFORD,REDBRIDGE,GREATER LONDON
715000,29/01/2016,HA2 6JL,81,,HEADSTONE LANE,,HARROW,HARROW,GREATER LONDON
205000,11/02/2016,UB5 6UG,16,,PUMP CLOSE,,NORTHOLT,EALING,GREATER LONDON
